,city,puid,hours
152,Москва,10921639,2.4271999999999996
153,Москва,11126303,6.978110277777778
154,Москва,11181077,5.832499690618354
155,Москва,11288901,15.754957808947099
156,Москва,11316876,11.869405277777776
157,Москва,11435456,0.1100619444444443
158,Москва,11460234,0.3349999999999997
159,Москва,11534892,0.6677777777777776
160,Москва,11581918,67.18165068181818
161,Москва,11694882,11.139953055555555
162,Москва,11718696,61.55827272727272
163,Москва,11746121,10.381666666666666
164,Москва,11762020,3.7891666666666666
165,Москва,11856702,17.149444444444445
166,Москва,11947270,67.32674502525293
167,Москва,12011608,4.760000000000001
168,Москва,12289106,83.20758186868687
169,Москва,12318721,11.145981818181818
170,Москва,12486201,0.4627777777777776
171,Москва,12535344,14.926444444445274
172,Москва,12556628,0.0049986111111111
173,Москва,12605919,0.2492802777777777
